Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human T-cell leukemia virus 1 infection	2/219	0.21036215618134615	0.446558261367419	0	0	2.3896434634974533	3.7252741724943754	CRTC1;ADCY1
Human cytomegalovirus infection	2/225	0.21894070633833823	0.456755611498947	0	0	2.3246400755251355	3.5310221157047597	ADCY1;CALM1
Cortisol synthesis and secretion	1/65	0.22462081709451606	0.46066303166841427	0	0	4.029626623376624	6.017608890961936	ADCY1
Thermogenesis	2/232	0.22898796930927137	0.46179240477369726	0	0	2.2530892448512585	3.3212468903012886	MLST8;ADCY1
Renin secretion	1/69	0.2366860196551412	0.46826866075452245	0	0	3.791825821237586	5.464099983669562	CALM1
Shigellosis	2/246	0.2491724953032141	0.46826866075452245	0	0	2.1223037100949096	2.949174182977843	GSK3A;RBCK1
Parkinson disease	2/249	0.25350812797128347	0.46826866075452245	0	0	2.09620711698274	2.8767495276327746	CAMK2A;CALM1
Thyroid hormone synthesis	1/75	0.2544371359246685	0.46826866075452245	0	0	3.4833274833274834	4.767635494374277	ADCY1
Pertussis	1/76	0.25735577169273355	0.46826866075452245	0	0	3.4367099567099566	4.664632078485927	CALM1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.26026312780562016	0.46826866075452245	0	0	3.3913192071086806	4.564926354420446	CACNB3
Leishmaniasis	1/77	0.26026312780562016	0.46826866075452245	0	0	3.3913192071086806	4.564926354420446	EEF1A1
Antigen processing and presentation	1/78	0.2631592473661779	0.46826866075452245	0	0	3.347107438016529	4.46837479616033	PSME1
ErbB signaling pathway	1/85	0.28312104060857984	0.4820575173006321	0	0	3.067099567099567	3.8703139555712807	CAMK2A
Cardiac muscle contraction	1/87	0.28872569731262004	0.4820575173006321	0	0	2.9954696466324373	3.7212065983552876	CACNB3
Gap junction	1/88	0.2915117823074112	0.4820575173006321	0	0	2.960889685027616	3.649814261471696	ADCY1
GABAergic synapse	1/89	0.29428709343447745	0.4820575173006321	0	0	2.927095631641086	3.58042185405644	ADCY1
Bile secretion	1/90	0.29705167184738396	0.4820575173006321	0	0	2.894060995184591	3.512953554379464	ADCY1
Hypertrophic cardiomyopathy	1/90	0.29705167184738396	0.4820575173006321	0	0	2.894060995184591	3.512953554379464	CACNB3
Morphine addiction	1/91	0.29980555857333535	0.4820575173006321	0	0	2.8617604617604617	3.447337185759639	ADCY1
Phosphatidylinositol signaling system	1/97	0.31610662709453136	0.4820575173006321	0	0	2.6820887445887447	3.0888964184307746	CALM1
Glycerophospholipid metabolism	1/98	0.31878680582822905	0.4820575173006321	0	0	2.65430445842817	3.0344877054794863	PLD3
Progesterone-mediated oocyte maturation	1/100	0.32411609442991285	0.4820575173006321	0	0	2.600419782237964	2.929772078325152	ADCY1
Amoebiasis	1/102	0.3294042210966763	0.4820575173006321	0	0	2.548669152629549	2.830219733780442	ADCY1
Chagas disease	1/102	0.3294042210966763	0.4820575173006321	0	0	2.548669152629549	2.830219733780442	ADCY1
Longevity regulating pathway	1/102	0.3294042210966763	0.4820575173006321	0	0	2.548669152629549	2.830219733780442	ADCY1
Pancreatic secretion	1/102	0.3294042210966763	0.4820575173006321	0	0	2.548669152629549	2.830219733780442	ADCY1
Protein digestion and absorption	1/103	0.3320329468609451	0.4820575173006321	0	0	2.523554876496053	2.7822724414547797	PRCP
C-type lectin receptor signaling pathway	1/104	0.334651499613662	0.4820575173006321	0	0	2.4989282562098096	2.735490769716012	CALM1
Parathyroid hormone synthesis, secretion and action	1/106	0.33985824153562827	0.48227313648290077	0	0	2.451082251082251	2.6452733724343602	ADCY1
Pathways in cancer	3/531	0.3427726424589212	0.48227313648290077	0	0	1.4692424242424242	1.5731000881132067	CAMK2A;ADCY1;CALM1
HIF-1 signaling pathway	1/109	0.34759302367768424	0.48343397545976774	0	0	2.3826358826358827	2.5177860324094157	CAMK2A
Growth hormone synthesis, secretion and action	1/119	0.37273511189539127	0.5100980460417197	0	0	2.179616993176315	2.1510362583630696	ADCY1
AMPK signaling pathway	1/120	0.37519608345217403	0.5100980460417197	0	0	2.1611917494270436	2.1186303207143395	EEF2
Platelet activation	1/124	0.38494501394108405	0.5175371854096797	0	0	2.0904867490233343	1.9956931587571036	ADCY1
Purine metabolism	1/129	0.39692023436085627	0.5220363951919957	0	0	2.0083198051948052	1.8557275448680048	ADCY1
Relaxin signaling pathway	1/129	0.39692023436085627	0.5220363951919957	0	0	2.0083198051948052	1.8557275448680048	ADCY1
FoxO signaling pathway	1/131	0.40164561203881466	0.5225711726526513	0	0	1.9772227772227773	1.8035932383434459	HOMER2
Autophagy	1/137	0.41560353342423734	0.5269880100230505	0	0	1.8894194041252865	1.658954671828482	MLST8
Insulin signaling pathway	1/137	0.41560353342423734	0.5269880100230505	0	0	1.8894194041252865	1.658954671828482	CALM1
Fluid shear stress and atherosclerosis	1/139	0.4201843600752239	0.5269880100230505	0	0	1.8618482966309053	1.6143373705485256	CALM1
Ubiquitin mediated proteolysis	1/140	0.42246146258046197	0.5269880100230505	0	0	1.8483602728207045	1.5926526584861072	UBE2M
Phospholipase D signaling pathway	1/148	0.44036327297635774	0.538221778082215	0	0	1.7470624613481756	1.4328624887227117	ADCY1
Retrograde endocannabinoid signaling	1/148	0.44036327297635774	0.538221778082215	0	0	1.7470624613481756	1.4328624887227117	ADCY1
mTOR signaling pathway	1/154	0.45342908917415053	0.5429781047520192	0	0	1.678040913335031	1.3271900532345697	MLST8
Non-alcoholic fatty liver disease	1/155	0.4555772521262536	0.5429781047520192	0	0	1.667060212514758	1.3106260320374805	GSK3A
Cellular senescence	1/156	0.4577170800388922	0.5429781047520192	0	0	1.6562211981566821	1.294343515945042	CALM1
Wnt signaling pathway	1/166	0.47866389608016313	0.5623138973368906	0	0	1.5550570641479733	1.1456985650168554	CAMK2A
Tight junction	1/169	0.4847907164984373	0.5640353528491434	0	0	1.527056277056277	1.1056467628735849	DLG2
NOD-like receptor signaling pathway	1/181	0.5085951838543813	0.5805649606582459	0	0	1.4243867243867243	0.9630319886072558	RBCK1
Axon guidance	1/182	0.5105291605222498	0.5805649606582459	0	0	1.4164454330200187	0.9522869184358412	CAMK2A
Olfactory transduction	2/440	0.5145869083752277	0.5805649606582459	0	0	1.1706320596010575	0.777757193819001	CAMK2A;CALM1
Alcoholism	1/186	0.5181902128189302	0.5805649606582459	0	0	1.3855387855387855	0.9108710681708097	CALM1
Kaposi sarcoma-associated herpesvirus infection	1/193	0.5313132530896941	0.5898064552647063	0	0	1.3345508658008658	0.8439746400509059	CALM1
Diabetic cardiomyopathy	1/203	0.5494504832011158	0.6028131602141953	0	0	1.2678410698212679	0.7592296630569667	CAMK2A
Proteoglycans in cancer	1/205	0.5529938907750056	0.6028131602141953	0	0	1.25528393175452	0.7436406513397655	CAMK2A
Human immunodeficiency virus 1 infection	1/212	0.5651805309178817	0.6105968235809257	0	0	1.2132085923555118	0.6922690460251513	CALM1
Ras signaling pathway	1/232	0.5982211952465583	0.6405731382728633	0	0	1.1070444706808342	0.5687935835908712	CALM1
Chemical carcinogenesis	1/239	0.609189593897479	0.6465959724701311	0	0	1.0741023682200153	0.5323527807556536	ADCY1
Salmonella infection	1/249	0.6243477457117964	0.6569224107054553	0	0	1.0302681189777965	0.48530551132452454	PLEKHM2
Cytokine-cytokine receptor interaction	1/295	0.6869273909903769	0.7165363302572035	0	0	0.8670377241805813	0.32559580000409344	GDF11
Huntington disease	1/306	0.7002959202095016	0.724237661071365	0	0	0.8352991271024058	0.2975772269596342	DLG4
Human papillomavirus infection	1/331	0.7286189476325653	0.7471431581655966	0	0	0.7710350255804801	0.2441130733342999	DLG2
Neuroactive ligand-receptor interaction	1/341	0.7391932052533481	0.7516166204676901	0	0	0.7479755538579068	0.22603518361663	VIP
PI3K-Akt signaling pathway	1/354	0.7523336828575283	0.7586031302146744	0	0	0.7199514366653177	0.20488041497026627	MLST8
Alzheimer disease	1/369	0.7666851671004221	0.7666851671004221	0	0	0.6900762281197064	0.18333878637957132	CALM1
